method,anomaly_type,count_adaptive,count_static,diff_abs,diff_pct,valid_n
CAPPED_minmax_IFw1080q010_AEw1080q950,Point,457,1465,-1008,-69%,69409
CAPPED_minmax_IFw1080q010_AEw1080q950,Pattern,2932,2853,79,3%,69409
CAPPED_minmax_IFw1080q010_AEw1080q950,Compound,259,618,-359,-58%,69409
CAPPED_minmax_IFw1080q010_AEw1080q975,Point,506,1465,-959,-65%,69409
CAPPED_minmax_IFw1080q010_AEw1080q975,Pattern,1641,2853,-1212,-42%,69409
CAPPED_minmax_IFw1080q010_AEw1080q975,Compound,210,618,-408,-66%,69409
CAPPED_minmax_IFw1080q010_AEw1080q990,Point,561,1465,-904,-62%,69409
CAPPED_minmax_IFw1080q010_AEw1080q990,Pattern,785,2853,-2068,-72%,69409
CAPPED_minmax_IFw1080q010_AEw1080q990,Compound,155,618,-463,-75%,69409
CAPPED_minmax_IFw1080q010_AEw336q950,Point,445,1465,-1020,-70%,69409
CAPPED_minmax_IFw1080q010_AEw336q950,Pattern,3444,2853,591,21%,69409
CAPPED_minmax_IFw1080q010_AEw336q950,Compound,271,618,-347,-56%,69409
CAPPED_minmax_IFw1080q010_AEw336q975,Point,490,1465,-975,-67%,69409
CAPPED_minmax_IFw1080q010_AEw336q975,Pattern,2072,2853,-781,-27%,69409
CAPPED_minmax_IFw1080q010_AEw336q975,Compound,226,618,-392,-63%,69409
CAPPED_minmax_IFw1080q010_AEw336q990,Point,530,1465,-935,-64%,69409
CAPPED_minmax_IFw1080q010_AEw336q990,Pattern,1164,2853,-1689,-59%,69409
CAPPED_minmax_IFw1080q010_AEw336q990,Compound,186,618,-432,-70%,69409
CAPPED_minmax_IFw1080q010_AEw720q950,Point,458,1465,-1007,-69%,69409
CAPPED_minmax_IFw1080q010_AEw720q950,Pattern,3050,2853,197,7%,69409
CAPPED_minmax_IFw1080q010_AEw720q950,Compound,258,618,-360,-58%,69409
CAPPED_minmax_IFw1080q010_AEw720q975,Point,503,1465,-962,-66%,69409
CAPPED_minmax_IFw1080q010_AEw720q975,Pattern,1697,2853,-1156,-41%,69409
CAPPED_minmax_IFw1080q010_AEw720q975,Compound,213,618,-405,-66%,69409
CAPPED_minmax_IFw1080q010_AEw720q990,Point,551,1465,-914,-62%,69409
CAPPED_minmax_IFw1080q010_AEw720q990,Pattern,871,2853,-1982,-69%,69409
CAPPED_minmax_IFw1080q010_AEw720q990,Compound,165,618,-453,-73%,69409
CAPPED_minmax_IFw1080q030_AEw1080q950,Point,1373,1465,-92,-6%,69409
CAPPED_minmax_IFw1080q030_AEw1080q950,Pattern,2651,2853,-202,-7%,69409
CAPPED_minmax_IFw1080q030_AEw1080q950,Compound,540,618,-78,-13%,69409
CAPPED_minmax_IFw1080q030_AEw1080q975,Point,1489,1465,24,2%,69409
CAPPED_minmax_IFw1080q030_AEw1080q975,Pattern,1427,2853,-1426,-50%,69409
CAPPED_minmax_IFw1080q030_AEw1080q975,Compound,424,618,-194,-31%,69409
CAPPED_minmax_IFw1080q030_AEw1080q990,Point,1625,1465,160,11%,69409
CAPPED_minmax_IFw1080q030_AEw1080q990,Pattern,652,2853,-2201,-77%,69409
CAPPED_minmax_IFw1080q030_AEw1080q990,Compound,288,618,-330,-53%,69409
CAPPED_minmax_IFw1080q030_AEw336q950,Point,1344,1465,-121,-8%,69409
CAPPED_minmax_IFw1080q030_AEw336q950,Pattern,3146,2853,293,10%,69409
CAPPED_minmax_IFw1080q030_AEw336q950,Compound,569,618,-49,-8%,69409
CAPPED_minmax_IFw1080q030_AEw336q975,Point,1450,1465,-15,-1%,69409
CAPPED_minmax_IFw1080q030_AEw336q975,Pattern,1835,2853,-1018,-36%,69409
CAPPED_minmax_IFw1080q030_AEw336q975,Compound,463,618,-155,-25%,69409
CAPPED_minmax_IFw1080q030_AEw336q990,Point,1560,1465,95,6%,69409
CAPPED_minmax_IFw1080q030_AEw336q990,Pattern,997,2853,-1856,-65%,69409
CAPPED_minmax_IFw1080q030_AEw336q990,Compound,353,618,-265,-43%,69409
CAPPED_minmax_IFw1080q030_AEw720q950,Point,1372,1465,-93,-6%,69409
CAPPED_minmax_IFw1080q030_AEw720q950,Pattern,2767,2853,-86,-3%,69409
CAPPED_minmax_IFw1080q030_AEw720q950,Compound,541,618,-77,-12%,69409
CAPPED_minmax_IFw1080q030_AEw720q975,Point,1485,1465,20,1%,69409
CAPPED_minmax_IFw1080q030_AEw720q975,Pattern,1482,2853,-1371,-48%,69409
CAPPED_minmax_IFw1080q030_AEw720q975,Compound,428,618,-190,-31%,69409
CAPPED_minmax_IFw1080q030_AEw720q990,Point,1621,1465,156,11%,69409
CAPPED_minmax_IFw1080q030_AEw720q990,Pattern,744,2853,-2109,-74%,69409
CAPPED_minmax_IFw1080q030_AEw720q990,Compound,292,618,-326,-53%,69409
CAPPED_minmax_IFw1440q010_AEw1080q950,Point,464,1465,-1001,-68%,69409
CAPPED_minmax_IFw1440q010_AEw1080q950,Pattern,2927,2853,74,3%,69409
CAPPED_minmax_IFw1440q010_AEw1080q950,Compound,264,618,-354,-57%,69409
CAPPED_minmax_IFw1440q010_AEw1080q975,Point,515,1465,-950,-65%,69409
CAPPED_minmax_IFw1440q010_AEw1080q975,Pattern,1638,2853,-1215,-43%,69409
CAPPED_minmax_IFw1440q010_AEw1080q975,Compound,213,618,-405,-66%,69409
CAPPED_minmax_IFw1440q010_AEw1080q990,Point,572,1465,-893,-61%,69409
CAPPED_minmax_IFw1440q010_AEw1080q990,Pattern,784,2853,-2069,-73%,69409
CAPPED_minmax_IFw1440q010_AEw1080q990,Compound,156,618,-462,-75%,69409
CAPPED_minmax_IFw1440q010_AEw336q950,Point,454,1465,-1011,-69%,69409
CAPPED_minmax_IFw1440q010_AEw336q950,Pattern,3441,2853,588,21%,69409
CAPPED_minmax_IFw1440q010_AEw336q950,Compound,274,618,-344,-56%,69409
CAPPED_minmax_IFw1440q010_AEw336q975,Point,498,1465,-967,-66%,69409
CAPPED_minmax_IFw1440q010_AEw336q975,Pattern,2068,2853,-785,-28%,69409
CAPPED_minmax_IFw1440q010_AEw336q975,Compound,230,618,-388,-63%,69409
CAPPED_minmax_IFw1440q010_AEw336q990,Point,542,1465,-923,-63%,69409
CAPPED_minmax_IFw1440q010_AEw336q990,Pattern,1164,2853,-1689,-59%,69409
CAPPED_minmax_IFw1440q010_AEw336q990,Compound,186,618,-432,-70%,69409
CAPPED_minmax_IFw1440q010_AEw720q950,Point,465,1465,-1000,-68%,69409
CAPPED_minmax_IFw1440q010_AEw720q950,Pattern,3045,2853,192,7%,69409
CAPPED_minmax_IFw1440q010_AEw720q950,Compound,263,618,-355,-57%,69409
CAPPED_minmax_IFw1440q010_AEw720q975,Point,514,1465,-951,-65%,69409
CAPPED_minmax_IFw1440q010_AEw720q975,Pattern,1696,2853,-1157,-41%,69409
CAPPED_minmax_IFw1440q010_AEw720q975,Compound,214,618,-404,-65%,69409
CAPPED_minmax_IFw1440q010_AEw720q990,Point,565,1465,-900,-61%,69409
CAPPED_minmax_IFw1440q010_AEw720q990,Pattern,873,2853,-1980,-69%,69409
CAPPED_minmax_IFw1440q010_AEw720q990,Compound,163,618,-455,-74%,69409
CAPPED_minmax_IFw1440q030_AEw1080q950,Point,1380,1465,-85,-6%,69409
CAPPED_minmax_IFw1440q030_AEw1080q950,Pattern,2645,2853,-208,-7%,69409
CAPPED_minmax_IFw1440q030_AEw1080q950,Compound,546,618,-72,-12%,69409
CAPPED_minmax_IFw1440q030_AEw1080q975,Point,1499,1465,34,2%,69409
CAPPED_minmax_IFw1440q030_AEw1080q975,Pattern,1424,2853,-1429,-50%,69409
CAPPED_minmax_IFw1440q030_AEw1080q975,Compound,427,618,-191,-31%,69409
CAPPED_minmax_IFw1440q030_AEw1080q990,Point,1638,1465,173,12%,69409
CAPPED_minmax_IFw1440q030_AEw1080q990,Pattern,652,2853,-2201,-77%,69409
CAPPED_minmax_IFw1440q030_AEw1080q990,Compound,288,618,-330,-53%,69409
CAPPED_minmax_IFw1440q030_AEw336q950,Point,1353,1465,-112,-8%,69409
CAPPED_minmax_IFw1440q030_AEw336q950,Pattern,3142,2853,289,10%,69409
CAPPED_minmax_IFw1440q030_AEw336q950,Compound,573,618,-45,-7%,69409
CAPPED_minmax_IFw1440q030_AEw336q975,Point,1460,1465,-5,0%,69409
CAPPED_minmax_IFw1440q030_AEw336q975,Pattern,1832,2853,-1021,-36%,69409
CAPPED_minmax_IFw1440q030_AEw336q975,Compound,466,618,-152,-25%,69409
CAPPED_minmax_IFw1440q030_AEw336q990,Point,1574,1465,109,7%,69409
CAPPED_minmax_IFw1440q030_AEw336q990,Pattern,998,2853,-1855,-65%,69409
CAPPED_minmax_IFw1440q030_AEw336q990,Compound,352,618,-266,-43%,69409
CAPPED_minmax_IFw1440q030_AEw720q950,Point,1381,1465,-84,-6%,69409
CAPPED_minmax_IFw1440q030_AEw720q950,Pattern,2763,2853,-90,-3%,69409
CAPPED_minmax_IFw1440q030_AEw720q950,Compound,545,618,-73,-12%,69409
CAPPED_minmax_IFw1440q030_AEw720q975,Point,1495,1465,30,2%,69409
CAPPED_minmax_IFw1440q030_AEw720q975,Pattern,1479,2853,-1374,-48%,69409
CAPPED_minmax_IFw1440q030_AEw720q975,Compound,431,618,-187,-30%,69409
CAPPED_minmax_IFw1440q030_AEw720q990,Point,1632,1465,167,11%,69409
CAPPED_minmax_IFw1440q030_AEw720q990,Pattern,742,2853,-2111,-74%,69409
CAPPED_minmax_IFw1440q030_AEw720q990,Compound,294,618,-324,-52%,69409
CAPPED_minmax_IFw336q010_AEw1080q950,Point,584,1465,-881,-60%,69409
CAPPED_minmax_IFw336q010_AEw1080q950,Pattern,2956,2853,103,4%,69409
CAPPED_minmax_IFw336q010_AEw1080q950,Compound,235,618,-383,-62%,69409
CAPPED_minmax_IFw336q010_AEw1080q975,Point,642,1465,-823,-56%,69409
CAPPED_minmax_IFw336q010_AEw1080q975,Pattern,1674,2853,-1179,-41%,69409
CAPPED_minmax_IFw336q010_AEw1080q975,Compound,177,618,-441,-71%,69409
CAPPED_minmax_IFw336q010_AEw1080q990,Point,698,1465,-767,-52%,69409
CAPPED_minmax_IFw336q010_AEw1080q990,Pattern,819,2853,-2034,-71%,69409
CAPPED_minmax_IFw336q010_AEw1080q990,Compound,121,618,-497,-80%,69409
CAPPED_minmax_IFw336q010_AEw336q950,Point,559,1465,-906,-62%,69409
CAPPED_minmax_IFw336q010_AEw336q950,Pattern,3455,2853,602,21%,69409
CAPPED_minmax_IFw336q010_AEw336q950,Compound,260,618,-358,-58%,69409
CAPPED_minmax_IFw336q010_AEw336q975,Point,607,1465,-858,-59%,69409
CAPPED_minmax_IFw336q010_AEw336q975,Pattern,2086,2853,-767,-27%,69409
CAPPED_minmax_IFw336q010_AEw336q975,Compound,212,618,-406,-66%,69409
CAPPED_minmax_IFw336q010_AEw336q990,Point,647,1465,-818,-56%,69409
CAPPED_minmax_IFw336q010_AEw336q990,Pattern,1178,2853,-1675,-59%,69409
CAPPED_minmax_IFw336q010_AEw336q990,Compound,172,618,-446,-72%,69409
CAPPED_minmax_IFw336q010_AEw720q950,Point,584,1465,-881,-60%,69409
CAPPED_minmax_IFw336q010_AEw720q950,Pattern,3073,2853,220,8%,69409
CAPPED_minmax_IFw336q010_AEw720q950,Compound,235,618,-383,-62%,69409
CAPPED_minmax_IFw336q010_AEw720q975,Point,634,1465,-831,-57%,69409
CAPPED_minmax_IFw336q010_AEw720q975,Pattern,1725,2853,-1128,-40%,69409
CAPPED_minmax_IFw336q010_AEw720q975,Compound,185,618,-433,-70%,69409
CAPPED_minmax_IFw336q010_AEw720q990,Point,686,1465,-779,-53%,69409
CAPPED_minmax_IFw336q010_AEw720q990,Pattern,903,2853,-1950,-68%,69409
CAPPED_minmax_IFw336q010_AEw720q990,Compound,133,618,-485,-78%,69409
CAPPED_minmax_IFw336q030_AEw1080q950,Point,1461,1465,-4,0%,69409
CAPPED_minmax_IFw336q030_AEw1080q950,Pattern,2676,2853,-177,-6%,69409
CAPPED_minmax_IFw336q030_AEw1080q950,Compound,515,618,-103,-17%,69409
CAPPED_minmax_IFw336q030_AEw1080q975,Point,1583,1465,118,8%,69409
CAPPED_minmax_IFw336q030_AEw1080q975,Pattern,1458,2853,-1395,-49%,69409
CAPPED_minmax_IFw336q030_AEw1080q975,Compound,393,618,-225,-36%,69409
CAPPED_minmax_IFw336q030_AEw1080q990,Point,1709,1465,244,17%,69409
