method_key,pretty,anomaly_type,count,valid_n,rate_per_1k
static,static,Compound,618,69409,8.90374447117809
static,static,Pattern,2853,69409,41.10417957325419
static,static,Point,1465,69409,21.10677289688657
adaptive_IFw1080q010_AEw720q950,adaptive,Compound,276,69409,3.9764295696523506
adaptive_IFw1080q010_AEw720q950,adaptive,Pattern,3673,69409,52.91820945410537
adaptive_IFw1080q010_AEw720q950,adaptive,Point,446,69409,6.425679666901987
CAPPED_minmax_IFw336q030_AEw336q975,capped-minmax,Compound,467,69409,6.728234090679884
CAPPED_minmax_IFw336q030_AEw336q975,capped-minmax,Pattern,1831,69409,26.379864282729905
CAPPED_minmax_IFw336q030_AEw336q975,capped-minmax,Point,1509,69409,21.740696451468832
DWELL_PATTERN_IFw336q030_AEw336q950,dwell,Compound,331,69409,4.768834012880174
DWELL_PATTERN_IFw336q030_AEw336q950,dwell,Pattern,1743,69409,25.112017173565388
DWELL_PATTERN_IFw336q030_AEw336q950,dwell,Point,1645,69409,23.70009652926854
